




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21836)	upload_1 (364)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of phosphatidylserine exposure on apoptotic cell surface (GO:1905782)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of phosphatidylserine exposure on apoptotic cell surface (GO:1905780)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA strand displacement (GO:0000732)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA synthesis involved in DNA repair (GO:0000731)	37	0	.62	-	 < 0.01	1.00E00	1.00E00
regulation of modification of synapse structure, modulating synaptic transmission (GO:0098987)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA recombinase assembly (GO:0000730)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
mitotic cleavage furrow ingression (GO:1990386)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
hyaloid vascular plexus regression (GO:1990384)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
chitin catabolic process (GO:0006032)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
chitin metabolic process (GO:0006030)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
negative regulation of cytosolic calcium ion concentration (GO:0051481)	24	0	.40	-	 < 0.01	1.00E00	1.00E00
negative regulation of exonuclease activity (GO:1905778)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of exonuclease activity (GO:1905777)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA double-strand break processing (GO:0000729)	20	0	.33	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA helicase activity (GO:1905776)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
double-strand break repair via break-induced replication (GO:0000727)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
regulation of DNA helicase activity (GO:1905774)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
recombinational repair (GO:0000725)	118	0	1.97	-	 < 0.01	2.72E-01	1.00E00
poly(A)-dependent snoRNA 3'-end processing (GO:0071051)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of mesodermal cell differentiation (GO:1905772)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
double-strand break repair via homologous recombination (GO:0000724)	113	0	1.88	-	 < 0.01	2.69E-01	1.00E00
negative regulation of mesodermal cell differentiation (GO:1905771)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of mesodermal cell differentiation (GO:1905770)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
telomere maintenance via recombination (GO:0000722)	15	0	.25	-	 < 0.01	1.00E00	1.00E00
lipid transport across blood-brain barrier (GO:1990379)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
pyrimidine dimer repair by nucleotide-excision repair (GO:0000720)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
glycosaminoglycan biosynthetic process (GO:0006024)	52	0	.87	-	 < 0.01	1.00E00	1.00E00
inositol biosynthetic process (GO:0006021)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
inositol metabolic process (GO:0006020)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
polyadenylation-dependent mRNA catabolic process (GO:0071047)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of double-stranded telomeric DNA binding (GO:1905768)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of double-stranded telomeric DNA binding (GO:1905767)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear histone mRNA catabolic process (GO:0071045)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
histone mRNA catabolic process (GO:0071044)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
negative regulation of protection from non-homologous end joining at telomere (GO:1905765)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair, DNA duplex unwinding (GO:0000717)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
CUT metabolic process (GO:0071043)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of protection from non-homologous end joining at telomere (GO:1905764)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
nuclear polyadenylation-dependent mRNA catabolic process (GO:0071042)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair, DNA damage recognition (GO:0000715)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
antisense RNA transcript catabolic process (GO:0071041)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear polyadenylation-dependent antisense transcript catabolic process (GO:0071040)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor transport to postsynaptic membrane (GO:0098969)	20	0	.33	-	 < 0.01	1.00E00	1.00E00
resolution of meiotic recombination intermediates (GO:0000712)	17	0	.28	-	 < 0.01	1.00E00	1.00E00
vesicle fusion with vacuole (GO:0051469)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor transport postsynaptic membrane to endosome (GO:0098968)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
meiotic DNA repair synthesis (GO:0000711)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
exocytic insertion of neurotransmitter receptor to postsynaptic membrane (GO:0098967)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
5-phosphoribose 1-diphosphate biosynthetic process (GO:0006015)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of corticotropin-releasing hormone secretion (GO:0051466)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
D-ribose metabolic process (GO:0006014)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
anterograde dendritic transport of messenger ribonucleoprotein complex (GO:0098964)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of cortisol secretion (GO:0051464)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
dendritic transport of messenger ribonucleoprotein complex (GO:0098963)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
galactose metabolic process (GO:0006012)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
negative regulation of cortisol secretion (GO:0051463)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
UDP-alpha-D-glucose metabolic process (GO:0006011)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of cortisol secretion (GO:0051462)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of corticotropin secretion (GO:0051461)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
negative regulation of corticotropin secretion (GO:0051460)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear polyadenylation-dependent CUT catabolic process (GO:0071039)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
TRAMP-dependent tRNA surveillance pathway (GO:0071038)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
nuclear polyadenylation-dependent snRNA catabolic process (GO:0071037)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear polyadenylation-dependent snoRNA catabolic process (GO:0071036)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
meiotic joint molecule formation (GO:0000709)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear polyadenylation-dependent rRNA catabolic process (GO:0071035)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
meiotic strand invasion (GO:0000708)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
CUT catabolic process (GO:0071034)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
protein localization to cytoplasmic microtubule (GO:1905755)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
meiotic DNA recombinase assembly (GO:0000707)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
meiotic DNA double-strand break processing (GO:0000706)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
nuclear mRNA surveillance of mRNA 3'-end processing (GO:0071031)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of endosome to plasma membrane protein transport (GO:1905751)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of corticotropin secretion (GO:0051459)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
retrograde axonal transport of mitochondrion (GO:0098958)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
stress response to zinc ion (GO:1990359)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell fate specification (GO:0009996)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
corticotropin secretion (GO:0051458)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
anterograde axonal transport of mitochondrion (GO:0098957)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
oocyte differentiation (GO:0009994)	63	0	1.05	-	 < 0.01	6.29E-01	1.00E00
fucose metabolic process (GO:0006004)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
spindle attachment to meiosis I kinetochore (GO:0051455)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
fructose 2,6-bisphosphate metabolic process (GO:0006003)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
intracellular water homeostasis (GO:0009992)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
intracellular pH elevation (GO:0051454)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
fructose 6-phosphate metabolic process (GO:0006002)	16	0	.27	-	 < 0.01	1.00E00	1.00E00
fructose catabolic process (GO:0006001)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
intracellular pH reduction (GO:0051452)	45	0	.75	-	 < 0.01	1.00E00	1.00E00
fructose metabolic process (GO:0006000)	15	0	.25	-	 < 0.01	1.00E00	1.00E00
myoblast proliferation (GO:0051450)	16	0	.27	-	 < 0.01	1.00E00	1.00E00
nuclear mRNA surveillance (GO:0071028)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of endosome to plasma membrane protein transport (GO:1905749)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
nuclear RNA surveillance (GO:0071027)	15	0	.25	-	 < 0.01	1.00E00	1.00E00
hard palate morphogenesis (GO:1905748)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
cytoplasmic RNA surveillance (GO:0071026)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of saliva secretion (GO:1905747)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA surveillance (GO:0071025)	18	0	.30	-	 < 0.01	1.00E00	1.00E00
positive regulation of mRNA cis splicing, via spliceosome (GO:1905746)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of mRNA cis splicing, via spliceosome (GO:1905744)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
gap junction-mediated intercellular transport (GO:1990349)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of voltage-gated calcium channel activity (GO:1901387)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
negative regulation of meiotic cell cycle (GO:0051447)	24	0	.40	-	 < 0.01	1.00E00	1.00E00
positive regulation of meiotic cell cycle (GO:0051446)	32	0	.53	-	 < 0.01	1.00E00	1.00E00
regulation of meiotic cell cycle (GO:0051445)	65	0	1.08	-	 < 0.01	6.30E-01	1.00E00
negative regulation of ubiquitin-protein transferase activity (GO:0051444)	18	0	.30	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor transport, postsynaptic endosome to lysosome (GO:0098943)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
negative regulation of chorionic trophoblast cell proliferation (GO:1901383)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of ubiquitin-protein transferase activity (GO:0051443)	21	0	.35	-	 < 0.01	1.00E00	1.00E00
regulation of chorionic trophoblast cell proliferation (GO:1901382)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
telomeric 3' overhang formation (GO:0031860)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of L-proline import across plasma membrane (GO:1905737)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of L-proline import across plasma membrane (GO:1905735)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
dendritic transport of mitochondrion (GO:0098939)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of ubiquitin-protein transferase activity (GO:0051438)	44	0	.73	-	 < 0.01	1.00E00	1.00E00
organic heteropentacyclic compound catabolic process (GO:1901377)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
organic heteropentacyclic compound metabolic process (GO:1901376)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
retrograde dendritic transport (GO:0098934)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
acetate ester transport (GO:1901374)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
cytidine deamination (GO:0009972)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
lipid hydroperoxide transport (GO:1901373)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
response to glutathione (GO:1901370)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
protein localization to microtubule end (GO:1905725)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
presynaptic signal transduction (GO:0098928)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
vesicle-mediated transport between endosomal compartments (GO:0098927)	30	0	.50	-	 < 0.01	1.00E00	1.00E00
response to L-cysteine (GO:1901367)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
retrograde trans-synaptic signaling by nitric oxide, modulating synaptic transmission (GO:0098925)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
retrograde trans-synaptic signaling by nitric oxide (GO:0098924)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
retrograde trans-synaptic signaling by soluble gas (GO:0098923)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
retrograde trans-synaptic signaling by endocannabinoid (GO:0098921)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
retrograde trans-synaptic signaling by lipid (GO:0098920)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
protection from non-homologous end joining at telomere (GO:0031848)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
protein localization to perinuclear region of cytoplasm (GO:1905719)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
negative regulation of cornification (GO:1905716)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cornification (GO:1905715)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
response to phosphatidylethanolamine (GO:1905711)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of membrane permeability (GO:1905710)	33	0	.55	-	 < 0.01	1.00E00	1.00E00
epidermal cell fate specification (GO:0009957)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
radial pattern formation (GO:0009956)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
microtubule nucleation by microtubule organizing center (GO:0051418)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
proximal/distal pattern formation (GO:0009954)	37	0	.62	-	 < 0.01	1.00E00	1.00E00
membrane repolarization during ventricular cardiac muscle cell action potential (GO:0098915)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
response to rapamycin (GO:1901355)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
microtubule nucleation by interphase microtubule organizing center (GO:0051415)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
membrane repolarization during atrial cardiac muscle cell action potential (GO:0098914)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
response to cortisol (GO:0051414)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
cellular response to insulin-like growth factor stimulus (GO:1990314)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
response to cortisone (GO:0051413)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
membrane depolarization during atrial cardiac muscle cell action potential (GO:0098912)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
dorsal/ventral axis specification (GO:0009950)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
regulation of ventricular cardiac muscle cell action potential (GO:0098911)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
regulation of atrial cardiac muscle cell action potential (GO:0098910)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
detoxification of nitrogen compound (GO:0051410)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of membrane permeability (GO:1905709)	20	0	.33	-	 < 0.01	1.00E00	1.00E00
negative regulation of glomerulus development (GO:0090194)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of mitochondrial ATP synthesis coupled proton transport (GO:1905707)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of mitochondrial ATP synthesis coupled proton transport (GO:1905706)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of branching involved in ureteric bud morphogenesis (GO:0090191)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of inhibitory synapse assembly (GO:1905704)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of inhibitory synapse assembly (GO:1905703)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of inhibitory synapse assembly (GO:1905702)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
polarity specification of anterior/posterior axis (GO:0009949)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
anterior/posterior axis specification (GO:0009948)	62	0	1.03	-	 < 0.01	6.29E-01	1.00E00
regulation of cardiac muscle cell action potential involved in regulation of contraction (GO:0098909)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
response to nitrosative stress (GO:0051409)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
proximal/distal axis specification (GO:0009946)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of SA node cell action potential (GO:0098907)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of Purkinje myocyte action potential (GO:0098906)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of vasculature development involved in avascular cornea development in camera-type eye (GO:1901346)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of bundle of His cell action potential (GO:0098905)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of AV node cell action potential (GO:0098904)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
response to leptomycin B (GO:1901344)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of membrane repolarization during action potential (GO:0098903)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of membrane depolarization during action potential (GO:0098902)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle cell action potential (GO:0098901)	28	0	.47	-	 < 0.01	1.00E00	1.00E00
positive regulation of store-operated calcium channel activity (GO:1901341)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of store-operated calcium channel activity (GO:1901340)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of pancreatic juice secretion (GO:0090188)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of pancreatic juice secretion (GO:0090187)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of pancreatic juice secretion (GO:0090186)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
negative regulation of kidney development (GO:0090185)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of secretion of lysosomal enzymes (GO:0090182)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of cholesterol metabolic process (GO:0090181)	53	0	.88	-	 < 0.01	1.00E00	1.00E00
regulation of store-operated calcium channel activity (GO:1901339)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
thioester transport (GO:1901337)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
lactone biosynthetic process (GO:1901336)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
lactone catabolic process (GO:1901335)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
lactone metabolic process (GO:1901334)	17	0	.28	-	 < 0.01	1.00E00	1.00E00
cell tip growth (GO:0009932)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of odontoblast differentiation (GO:1901331)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of odontoblast differentiation (GO:1901330)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of establishment of planar polarity involved in neural tube closure (GO:0090178)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
establishment of planar polarity involved in neural tube closure (GO:0090177)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
microtubule cytoskeleton organization involved in establishment of planar polarity (GO:0090176)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of establishment of planar polarity (GO:0090175)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
chondrocyte morphogenesis (GO:0090171)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of Golgi inheritance (GO:0090170)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of odontoblast differentiation (GO:1901329)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
response to cytochalasin B (GO:1901328)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
response to tacrolimus (GO:1901327)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
dendrite self-avoidance (GO:0070593)	14	0	.23	-	 < 0.01	1.00E00	1.00E00
regulation of spindle assembly (GO:0090169)	33	0	.55	-	 < 0.01	1.00E00	1.00E00
Golgi reassembly (GO:0090168)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
Golgi disassembly (GO:0090166)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
asymmetric Golgi ribbon formation (GO:0090164)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
establishment of epithelial cell polarity (GO:0090162)	36	0	.60	-	 < 0.01	1.00E00	1.00E00
Golgi ribbon formation (GO:0090161)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
Golgi to lysosome transport (GO:0090160)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of cell-cell adhesion involved in gastrulation (GO:0070587)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
cell-cell adhesion involved in gastrulation (GO:0070586)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
protein localization to mitochondrion (GO:0070585)	85	0	1.42	-	 < 0.01	4.08E-01	1.00E00
negative regulation of flagellated sperm motility (GO:1901318)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
auditory receptor cell fate commitment (GO:0009912)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of collateral sprouting in absence of injury (GO:0048698)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of collateral sprouting in absence of injury (GO:0048697)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of collateral sprouting in absence of injury (GO:0048696)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of collateral sprouting of injured axon (GO:0048694)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
intracellular sphingolipid homeostasis (GO:0090156)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of collateral sprouting of injured axon (GO:0048693)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of sphingolipid biosynthetic process (GO:0090155)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II (GO:0001193)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of sphingolipid biosynthetic process (GO:0090154)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
maintenance of transcriptional fidelity during transcription elongation (GO:0001192)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
