




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Mus musculus - REFLIST (21836)	upload_1 (1411)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
chromatin loop anchoring activity (GO:0140587)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
poly(A)-specific ribonuclease activity (GO:0004535)	13	0	.84	-	 < 0.01	1.00E00	1.00E00
5'-3' RNA exonuclease activity (GO:0004534)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
enone reductase activity (GO:0035671)	9	0	.58	-	 < 0.01	1.00E00	1.00E00
promoter-enhancer loop anchoring activity (GO:0140585)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
RNA exonuclease activity (GO:0004532)	34	0	2.20	-	 < 0.01	1.68E-01	1.00E00
deoxyribonuclease II activity (GO:0004531)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
deoxyribonuclease I activity (GO:0004530)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
P-type monovalent copper transporter activity (GO:0140581)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
mitochondrion autophagosome adaptor activity (GO:0140580)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
adenylylsulfatase activity (GO:0047627)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
protein-RNA sequence-specific adaptor activity (GO:0160134)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
rRNA (adenine-N6,N6-)-dimethyltransferase activity (GO:0000179)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
bicarbonate channel activity (GO:0160133)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
talin binding (GO:1990147)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
adenosine-phosphate deaminase activity (GO:0047623)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
acylpyruvate hydrolase activity (GO:0047621)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
3'-5'-RNA exonuclease activity (GO:0000175)	30	0	1.94	-	 < 0.01	2.60E-01	1.00E00
acylglycerol kinase activity (GO:0047620)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
ribonuclease MRP activity (GO:0000171)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
phosphodiesterase I activity (GO:0004528)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
ribonuclease P activity (GO:0004526)	11	0	.71	-	 < 0.01	1.00E00	1.00E00
Toll-like receptor 2 binding (GO:0035663)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
ribonuclease III activity (GO:0004525)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
transmembrane monodehydroascorbate reductase activity (GO:0140575)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
ribonuclease A activity (GO:0004522)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
protein-DNA covalent cross-linking activity (GO:0160129)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
acylcarnitine hydrolase activity (GO:0047619)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
transmembrane ascorbate ferrireductase activity (GO:0140571)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
pH-gated monoatomic ion channel activity (GO:0160128)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
aconitate decarboxylase activity (GO:0047613)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
linoleate 9S-lipoxygenase activity (GO:1990136)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
bis(monoacylglycero)phosphate synthase activity (GO:0160121)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
acetylspermidine deacetylase activity (GO:0047611)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
sodium-dependent organic anion transmembrane transporter activity (GO:0043250)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
nicotinate phosphoribosyltransferase activity (GO:0004516)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
membrane protein dislocase activity (GO:0140567)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
nicotinate-nucleotide adenylyltransferase activity (GO:0004515)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
histone reader activity (GO:0140566)	26	0	1.68	-	 < 0.01	4.10E-01	1.00E00
nicotinate-nucleotide diphosphorylase (carboxylating) activity (GO:0004514)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
AP-3 adaptor complex binding (GO:0035651)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
inositol-3-phosphate synthase activity (GO:0004512)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
UDP-D-xylose:beta-D-glucoside alpha-1,3-D-xylosyltransferase activity (GO:0140563)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
EGF-domain serine xylosyltransferase activity (GO:0140562)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
acetylputrescine deacetylase activity (GO:0047609)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
EGF-domain serine glucosyltransferase activity (GO:0140561)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine(7)-N2)-methyltransferase activity (GO:0160118)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
xylosyl alpha-1,3-xylosyltransferase activity (GO:0140560)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine(6)-N2)-methyltransferase activity (GO:0160117)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
acetoacetyl-CoA hydrolase activity (GO:0047603)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphorelay sensor kinase activity (GO:0000155)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
DNA strand exchange activity (GO:0000150)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
steroid 21-monooxygenase activity (GO:0004509)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
steroid 17-alpha-monooxygenase activity (GO:0004508)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
steroid 11-beta-monooxygenase activity (GO:0004507)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
squalene monooxygenase activity (GO:0004506)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
L-DOPA receptor activity (GO:0035643)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
phenylalanine 4-monooxygenase activity (GO:0004505)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
peptidylglycine monooxygenase activity (GO:0004504)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
tyrosinase activity (GO:0004503)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
kynurenine 3-monooxygenase activity (GO:0004502)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
dopamine beta-monooxygenase activity (GO:0004500)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
tRNA (adenine(58)-N1)-methyltransferase activity (GO:0160107)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA (adenine(9)-N1)-methyltransferase activity (GO:0160106)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine(26)-N2)-dimethyltransferase activity (GO:0160104)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine(10)-N2)-methyltransferase activity (GO:0160102)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
acylglycerone-phosphate reductase (NADP+) activity (GO:0000140)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
laminin-1 binding (GO:0043237)	7	0	.45	-	 < 0.01	1.00E00	1.00E00
transcription regulator activator activity (GO:0140537)	11	0	.71	-	 < 0.01	1.00E00	1.00E00
nuclear receptor corepressor activity (GO:0140536)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
glycerol-1-phosphatase activity (GO:0000121)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
beta-1,4-mannosyltransferase activity (GO:0019187)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
resveratrol binding (GO:1905594)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
clathrin adaptor activity (GO:0035615)	20	0	1.29	-	 < 0.01	6.37E-01	1.00E00
alkanesulfonate binding (GO:0043210)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
RNA stem-loop binding (GO:0035613)	19	0	1.23	-	 < 0.01	6.31E-01	1.00E00
GTPase-dependent fusogenic activity (GO:0140523)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
fusogenic activity (GO:0140522)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
NADP phosphatase activity (GO:0019178)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
glyoxalase III activity (GO:0019172)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
(3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity (GO:0019171)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
succinate dehydrogenase activity (GO:0000104)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
ganglioside GP1c binding (GO:1905577)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
ganglioside GT1b binding (GO:1905576)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
ganglioside GM3 binding (GO:1905575)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
trans-2-enoyl-CoA reductase (NADPH) activity (GO:0019166)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
ganglioside GM2 binding (GO:1905574)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum-autophagosome adaptor activity (GO:0140506)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
N-acylmannosamine kinase activity (GO:0009384)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
rRNA (cytosine-C5-)-methyltransferase activity (GO:0009383)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
histamine oxidase activity (GO:0052598)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
diamine oxidase activity (GO:0052597)	9	0	.58	-	 < 0.01	1.00E00	1.00E00
aliphatic amine oxidase activity (GO:0052595)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
mannokinase activity (GO:0019158)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
protein-disulfide reductase (glutathione) activity (GO:0019153)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
D-ribulokinase activity (GO:0019150)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
biotin binding (GO:0009374)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
maltodextrin phosphorylase activity (GO:0031220)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
apelin receptor activity (GO:0060182)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
aminobutyraldehyde dehydrogenase (NAD+) activity (GO:0019145)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity (GO:0001888)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine binding (GO:0031210)	29	0	1.87	-	 < 0.01	2.58E-01	1.00E00
pyrimidine nucleoside binding (GO:0001884)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
deoxyhypusine monooxygenase activity (GO:0019135)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
histone H4K20 methyltransferase activity (GO:0042799)	8	0	.52	-	 < 0.01	1.00E00	1.00E00
POZ domain binding (GO:0031208)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
lipopolysaccharide immune receptor activity (GO:0001875)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
(1->3)-beta-D-glucan immune receptor activity (GO:0001874)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
polysaccharide immune receptor activity (GO:0001873)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
(1->3)-beta-D-glucan binding (GO:0001872)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on acid halide bonds, in C-halide compounds (GO:0019120)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
3'-tRNA processing endoribonuclease activity (GO:0042781)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
complement component C4b receptor activity (GO:0001861)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
phenanthrene-9,10-epoxide hydrolase activity (GO:0019119)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
UDP-glucuronate 5'-epimerase activity (GO:0050379)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
phenanthrene-epoxide hydrolase activity (GO:0019118)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
benzaldehyde dehydrogenase [NAD(P)+] activity (GO:0019115)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
complement component C5a binding (GO:0001856)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
complement component C4b binding (GO:0001855)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
complement component C3b binding (GO:0001851)	9	0	.58	-	 < 0.01	1.00E00	1.00E00
complement component C3a binding (GO:0001850)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
inorganic triphosphate phosphatase activity (GO:0050355)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
triokinase activity (GO:0050354)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA binding (GO:1905502)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
trimethyllysine dioxygenase activity (GO:0050353)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
arsenite methyltransferase activity (GO:0030791)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
trans-L-3-hydroxyproline dehydratase activity (GO:0050346)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA-dihydrouridine20b synthase activity (GO:0102267)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA-dihydrouridine20a synthase activity (GO:0102266)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA-dihydrouridine47 synthase activity (GO:0102265)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
thymidylate 5'-phosphatase activity (GO:0050340)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA-dihydrouridine20 synthase activity (GO:0102264)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA-dihydrouridine17 synthase activity (GO:0102263)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA-dihydrouridine16 synthase activity (GO:0102262)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
UDP-glucuronate decarboxylase activity (GO:0048040)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
purine nucleotide-sugar transmembrane transporter activity (GO:0036080)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
ubiquinone binding (GO:0048039)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
quinone binding (GO:0048038)	16	0	1.03	-	 < 0.01	6.20E-01	1.00E00
thiamine triphosphate phosphatase activity (GO:0050333)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
PH domain binding (GO:0042731)	9	0	.58	-	 < 0.01	1.00E00	1.00E00
disaccharide binding (GO:0048030)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
tau-protein kinase activity (GO:0050321)	21	0	1.36	-	 < 0.01	3.97E-01	1.00E00
sulfur dioxygenase activity (GO:0050313)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
sterol sensor activity (GO:0032935)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
histone H3K56 acetyltransferase activity (GO:0032931)	21	0	1.36	-	 < 0.01	3.97E-01	1.00E00
protein-succinyllysine desuccinylase activity (GO:0036055)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
protein-malonyllysine demalonylase activity (GO:0036054)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
sugar-terminal-phosphatase activity (GO:0050309)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
sugar-phosphatase activity (GO:0050308)	10	0	.65	-	 < 0.01	1.00E00	1.00E00
orexin receptor activity (GO:0016499)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
substance K receptor activity (GO:0016497)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
substance P receptor activity (GO:0016496)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
C-X3-C chemokine receptor activity (GO:0016495)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
C-X-C chemokine receptor activity (GO:0016494)	8	0	.52	-	 < 0.01	1.00E00	1.00E00
S-adenosylmethionine-homocysteine S-methyltransferase activity (GO:0008898)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
C-C chemokine receptor activity (GO:0016493)	24	0	1.55	-	 < 0.01	4.01E-01	1.00E00
holo-[acyl-carrier-protein] synthase activity (GO:0008897)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
amine N-methyltransferase activity (GO:0030748)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
guanosine-5'-triphosphate,3'-diphosphate diphosphatase activity (GO:0008894)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity (GO:0008893)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
glycerate kinase activity (GO:0008887)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
carnosine N-methyltransferase activity (GO:0030735)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
glutamate racemase activity (GO:0008881)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
mediator complex binding (GO:0036033)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
guanidinoacetate N-methyltransferase activity (GO:0030731)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
trans-permethrin hydrolase activity (GO:0102209)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
acetoacetate-CoA ligase activity (GO:0030729)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
microtubule plus end polymerase (GO:0061863)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
DNA clamp unloader activity (GO:0061860)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
fructokinase activity (GO:0008865)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
7-dehydrocholesterol reductase activity (GO:0047598)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
exoribonuclease II activity (GO:0008859)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
C-palmitoyltransferase activity (GO:0016454)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
telomeric G-quadruplex DNA binding (GO:0061849)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
GAF domain binding (GO:0036004)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
N,N-dimethylaniline monooxygenase activity (GO:0004499)	9	0	.58	-	 < 0.01	1.00E00	1.00E00
calcidiol 1-monooxygenase activity (GO:0004498)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
methylmalonyl-CoA mutase activity (GO:0004494)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
methylmalonyl-CoA epimerase activity (GO:0004493)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
lysophosphatidylethanolamine acyltransferase activity (GO:0071618)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
methylmalonate-semialdehyde dehydrogenase (acylating, NAD) activity (GO:0004491)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
methylglutaconyl-CoA hydratase activity (GO:0004490)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
linoleic acid epoxygenase activity (GO:0071614)	11	0	.71	-	 < 0.01	1.00E00	1.00E00
internal mRNA (guanine-N7-)-methyltransferase activity (GO:0160090)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
endochitinase activity (GO:0008843)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
methylenetetrahydrofolate reductase (NAD(P)H) activity (GO:0004489)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
methylenetetrahydrofolate dehydrogenase (NADP+) activity (GO:0004488)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
methylenetetrahydrofolate dehydrogenase (NAD+) activity (GO:0004487)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
methylenetetrahydrofolate dehydrogenase [NAD(P)+] activity (GO:0004486)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
methylcrotonoyl-CoA carboxylase activity (GO:0004485)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
mRNA guanylyltransferase activity (GO:0004484)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
mRNA 5'-cap (guanine-N7-)-methyltransferase activity (GO:0004482)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
internal N(7)-methylguanine-containing RNA reader activity (GO:0160089)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA-queuosine(34) beta-mannosyltransferase activity (GO:0016438)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
rRNA (uridine) methyltransferase activity (GO:0016436)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
hypoxia-inducible factor-proline dioxygenase activity (GO:0160082)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
rRNA (guanine) methyltransferase activity (GO:0016435)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
rRNA (cytosine) methyltransferase activity (GO:0016434)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
rRNA (adenine) methyltransferase activity (GO:0016433)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
tRNA-uridine aminocarboxypropyltransferase activity (GO:0016432)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
dGTPase activity (GO:0008832)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
methionyl-tRNA formyltransferase activity (GO:0004479)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
methionine adenosyltransferase activity (GO:0004478)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
methenyltetrahydrofolate cyclohydrolase activity (GO:0004477)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
mannose-6-phosphate isomerase activity (GO:0004476)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
mannose-1-phosphate guanylyltransferase (GTP) activity (GO:0004475)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
malate synthase activity (GO:0004474)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
malate dehydrogenase (decarboxylating) (NADP+) activity (GO:0004473)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
malate dehydrogenase (decarboxylating) (NAD+) activity (GO:0004471)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
malic enzyme activity (GO:0004470)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
3-oxo-5-beta-steroid 4-dehydrogenase activity (GO:0047568)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA (cytidine-5-)-methyltransferase activity (GO:0016428)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
4-nitrophenol 2-monooxygenase activity (GO:0018601)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA (cytidine) methyltransferase activity (GO:0016427)	9	0	.58	-	 < 0.01	1.00E00	1.00E00
tRNA (adenine) methyltransferase activity (GO:0016426)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
ubiquitin ligase complex scaffold activity (GO:0160072)	7	0	.45	-	 < 0.01	1.00E00	1.00E00
dATP diphosphatase activity (GO:0008828)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine) methyltransferase activity (GO:0016423)	12	0	.78	-	 < 0.01	1.00E00	1.00E00
mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity (GO:0016422)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
CoA carboxylase activity (GO:0016421)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
malonyltransferase activity (GO:0016420)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
Met1-linked polyubiquitin deubiquitinase activity (GO:0061815)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
trimethylamine receptor activity (GO:1990081)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
2-phenylethylamine receptor activity (GO:1990080)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
lysine N-acetyltransferase activity, acting on acetyl phosphate as donor (GO:0004468)	12	0	.78	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acyl-CoA dehydrogenase activity (GO:0004466)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
leukotriene-C4 synthase activity (GO:0004464)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
leukotriene-A4 hydrolase activity (GO:0004463)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
lactoylglutathione lyase activity (GO:0004462)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
lactose synthase activity (GO:0004461)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
S-malonyltransferase activity (GO:0016419)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
S-acetyltransferase activity (GO:0016418)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
3',5'-cyclic-GMP phosphodiesterase activity (GO:0047555)	24	0	1.55	-	 < 0.01	4.01E-01	1.00E00
corrinoid adenosyltransferase activity (GO:0008817)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
serine O-acyltransferase activity (GO:0016412)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
choline dehydrogenase activity (GO:0008812)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
chloramphenicol O-acetyltransferase activity (GO:0008811)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
N6-threonylcarbomyladenosine methylthiotransferase activity (GO:0035598)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
N6-isopentenyladenosine methylthiotransferase activity (GO:0035597)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
L-lactate dehydrogenase activity (GO:0004459)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
methylthiotransferase activity (GO:0035596)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
D-lactate dehydrogenase (cytochrome) activity (GO:0004458)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
lactate dehydrogenase activity (GO:0004457)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
ketohexokinase activity (GO:0004454)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
isopentenyl-diphosphate delta-isomerase activity (GO:0004452)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
2-hydroxyglutarate dehydrogenase activity (GO:0047545)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
sulfur amino acid transmembrane transporter activity (GO:0000099)	10	0	.65	-	 < 0.01	1.00E00	1.00E00
15-hydroxyprostaglandin dehydrogenase (NAD+) activity (GO:0016404)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
S-adenosyl-L-methionine transmembrane transporter activity (GO:0000095)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
dimethylargininase activity (GO:0016403)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
pristanoyl-CoA oxidase activity (GO:0016402)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
betaine-aldehyde dehydrogenase (NAD+) activity (GO:0008802)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor receptor 3 binding (GO:0043185)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
isocitrate dehydrogenase (NAD+) activity (GO:0004449)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
iodide peroxidase activity (GO:0004447)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
inositol-hexakisphosphate phosphatase activity (GO:0004446)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
inositol-1,4-bisphosphate 1-phosphatase activity (GO:0004441)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
metal-dependent deubiquitinase activity (GO:0140492)	9	0	.58	-	 < 0.01	1.00E00	1.00E00
microtubule nucleator activity (GO:0140490)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
